Cabinas,Tiempo Total,Tasa Llegada,Tasa Servicio,Tiempo promedio espera,Autos atendidos,Ocupación promedio (%)
3,500,0.25,0.25,0.05387363660953988,113,27.82367458605035
3,500,0.25,0.25,0.10890809456633993,111,28.56827170919146
3,500,0.25,0.25,0.04491586764865418,126,30.61402195095846
3,500,0.25,0.25,0.0972060726760485,118,34.00005427128647
3,500,0.25,0.25,0.027781519599266138,116,29.95818518375218
3,500,0.25,0.25,0.21458386251808578,144,38.294810790082394
3,500,0.2,0.333,0.025045605510621734,98,18.022908707621763
3,500,0.2,0.333,0.14943779213494704,118,25.37565143260481
3,500,0.2,0.333,0.019178119776751146,100,16.23583069326128
3,500,0.2,0.333,0.015440894904741933,103,20.730089928117348
3,500,0.2,0.333,0.004234708596517547,94,18.01549179911809
3,500,0.2,0.333,0.0062014518537623076,104,19.89305068866836
3,500,0.2,0.333,0.0,89,17.298323841908605
3,500,0.2,0.333,0.005052283013191099,107,17.994915706479947
3,500,0.2,0.333,0.0014004955556410554,97,17.382414737095704
3,500,0.2,0.333,0.018314819987328302,99,20.836815821827837
3,500,0.2,0.25,0.0026259531004983187,102,28.804173514242475
3,500,0.2,0.25,0.07478611259053236,91,21.645391053778308
3,500,0.2,0.25,0.0,95,23.614091392389856
3,500,0.2,0.25,0.024216900501424204,89,22.84416791604681
3,500,0.2,0.25,0.08667870751514961,92,26.32208899805735
3,500,0.2,0.25,0.052087883018953736,109,23.72919714696536
3,500,0.2,0.25,0.168849110716741,97,23.660147589415057
3,500,0.2,0.25,0.4689080029230334,100,28.600903915602036
3,500,0.2,0.25,0.004251737089748531,100,30.82198857571844
3,500,0.2,0.25,0.11614247520891971,104,25.381328626229315
4,300,0.25,0.333,0.025221763710417535,72,19.840816190008557
4,300,0.25,0.333,0.0,65,15.962406798505587
4,300,0.25,0.333,0.0,68,15.658555452585729
4,300,0.25,0.333,0.0,79,15.481607758989878
4,300,0.25,0.333,0.10683594874288294,86,23.588198996776818
4,300,0.25,0.333,0.0,80,19.16841545256926
4,300,0.25,0.333,0.0,70,19.90501940930703
4,300,0.25,0.333,0.0,77,20.81773427200258
4,300,0.25,0.333,0.0,65,15.048034258856731
4,300,0.25,0.333,0.0,75,19.059369940974786
4,300,0.25,0.25,0.03355993885887858,89,33.32958431775242
4,300,0.25,0.25,0.008681722175978226,84,30.62748900058958
4,300,0.25,0.25,0.0,69,18.717720728403858
4,300,0.25,0.25,0.0,71,20.864003861437517
4,300,0.25,0.25,0.0036108201644736077,66,20.155730315370313
4,300,0.25,0.25,0.0,71,27.32869021502801
4,300,0.25,0.25,0.0,71,17.86892400388468
4,300,0.25,0.25,0.02264316228840874,99,32.590458634980926
4,300,0.25,0.25,0.0,82,29.612580747432638
4,300,0.25,0.25,0.005463998226654112,79,29.333278586211534
4,300,0.2,0.333,0.0,53,12.605619636601876
